id	title	start_date	end_date	description	wix_folder_name	order
jack-otway-richard-tinkler	Jack Otway & Richard Tinkler	17 June 2023	22 July 2023		Jack Otway _ Richard Tinkler,  June 17th – July 22nd 2023	0
lynn-hershman-leeson	Lynn Hershman Leeson	1 September 2023	15 October 2023		Lynn Hershman Leeson	1
thing-theory	Thing Theory	1 November 2023	15 December 2023		Thing Theory	2
screens	Screens	15 January 2024	28 February 2024		Screens	3
adam-patrick-grant-mourning-dance	Mourning Dance	1 March 2024	15 April 2024	Adam Patrick Grant	Adam Patrick Grant	4
racheal-crowther-managed-decline	Managed Decline	20 April 2024	30 May 2024	Racheal Crowther	Racheal Crowther Managed Decline	5
kevin-lowenthal-honeymoon	Honeymoon	1 June 2024	15 July 2024	Kevin Lowenthal	Kevin Lowenthal Honeymoon	6
thirza-smith-all-together-now	All Together Now	20 July 2024	1 September 2024	Thirza Smith	243_Luz - Thirza Smith - All Together Now	7
iw-payne-lie-down	Lie Down I Think I Love You	15 September 2024	30 October 2024	I.W. Payne	I.W. Payne  Lie down I think I love you	8
shola-von-reinhold-rebis	REBIS	1 January 2025	15 February 2025	Shola Von Reinhold	Shola Von Reinhold	9
marlie-mul-opening-up	Opening Up	20 February 2025	1 April 2025	Marlie Mul	Marlie Mul Opening up	10
august-boch-elia-munoz-perfect-vacuum	A Perfect Vacuum	15 April 2025	30 May 2025	August Boch & Elia Munoz	August Boch - Elia Munoz - A Perfect Vacuum	11
nasir-mazhar-i-always-wanted	I Always Wanted To Show You	1 June 2025	15 July 2025	Nasir Mazhar	Nasir Mazhar	12
aidan-duffy-after-the-function	After the Function	20 July 2025	1 September 2025	Aidan Duffy	Aidan Duffy After the Function	13
sunset-beach	Sunset Beach	15 September 2025	30 October 2025	Solomon Garçon	sunset beach	14
ben-gomes-outside	Outside	1 November 2025	30 November 2025	Ben Gomes	Ben Gomes Outisde	15
misty-the-fox	Misty The Fox	1 December 2025	20 December 2025		Misty The Fox	16
prossecco-wisdom	Prossecco Wisdom	15 January 2026	28 February 2026		Prossecco Wisdom	17
